canonical_skill,Business Analyst,Data Analyst,data_analyst_advantage,absolute_difference
Power BI,18.181818181818183,27.18351324828263,9.001695066464446,9.001695066464446
Python,27.27272727272727,35.77036310107949,8.49763582835222,8.49763582835222
Snowflake,0.0,6.182531894013739,6.182531894013739,6.182531894013739
Excel,43.93939393939394,37.92934249263985,-6.01005144675409,6.01005144675409
PowerPoint,12.12121212121212,6.673209028459273,-5.448003092752846,5.448003092752846
Statistics,3.0303030303030303,8.145240431795878,5.114937401492848,5.114937401492848
Tableau,27.27272727272727,31.94308145240432,4.670354179677052,4.670354179677052
VBA,7.575757575757576,2.9931305201177625,-4.582627055639813,4.582627055639813
SAP,7.575757575757576,3.5819430814524047,-3.9938144943051714,3.9938144943051714
AWS,1.5151515151515151,5.397448478900883,3.882296963749368,3.882296963749368
Looker,3.0303030303030303,6.771344455348381,3.741041425045351,3.741041425045351
Data Quality,6.0606060606060606,2.600588812561335,-3.4600172480447258,3.4600172480447258
SQL Server,6.0606060606060606,3.434739941118744,-2.6258661194873167,2.6258661194873167
ETL,3.0303030303030303,5.152109911678116,2.121806881375086,2.121806881375086
Oracle,6.0606060606060606,4.023552502453385,-2.0370535581526754,2.0370535581526754
R,16.666666666666664,18.645731108930324,1.9790644422636596,1.9790644422636596
Data Modeling,9.090909090909092,7.114818449460255,-1.9760906414488364,1.9760906414488364
Data Warehousing,4.545454545454546,2.600588812561335,-1.944865732893211,1.944865732893211
Machine Learning,1.5151515151515151,3.336604514229637,1.8214529990781219,1.8214529990781219
Reporting,6.0606060606060606,4.416094210009813,-1.6445118505962473,1.6445118505962473
SAS,6.0606060606060606,7.5073601570166835,1.446754096410623,1.446754096410623
Data Analysis,10.606060606060606,9.224730127576054,-1.3813304784845517,1.3813304784845517
Azure,3.0303030303030303,4.36702649656526,1.3367234662622298,1.3367234662622298
Data Visualization,10.606060606060606,11.383709519136408,0.7776489130758026,0.7776489130758026
SQL,60.60606060606061,59.96074582924435,-0.6453147768162566,0.6453147768162566
Data Mining,3.0303030303030303,2.649656526005888,-0.3806465042971423,0.3806465042971423
SPSS,3.0303030303030303,2.9931305201177625,-0.03717251018526779,0.03717251018526779
