canonical_skill,Entry,Internship,Junior,Lead,Mid,Mid-Senior,Senior
SQL,52.17391304347826,60.0,63.86554621848739,51.724137931034484,78.80434782608695,75.47169811320755,81.6593886462882
Excel,63.54515050167224,80.0,53.78151260504202,27.586206896551722,45.108695652173914,35.84905660377358,31.004366812227076
Python,24.08026755852843,80.0,32.773109243697476,24.137931034482758,44.02173913043478,43.39622641509434,42.35807860262008
Tableau,21.73913043478261,40.0,33.61344537815126,27.586206896551722,41.03260869565217,43.39622641509434,37.117903930131
Power BI,24.08026755852843,40.0,36.97478991596639,13.793103448275861,36.41304347826087,47.16981132075472,34.93449781659388
R,9.364548494983277,40.0,14.285714285714285,17.24137931034483,26.6304347826087,18.867924528301888,25.327510917030565
Data Visualization,15.719063545150503,20.0,12.605042016806722,13.793103448275861,20.380434782608695,28.30188679245283,20.52401746724891
Data Analysis,14.381270903010032,60.0,10.92436974789916,10.344827586206897,13.31521739130435,32.075471698113205,15.72052401746725
Statistics,6.688963210702341,,11.76470588235294,27.586206896551722,20.108695652173914,16.9811320754717,13.537117903930133
Data Modeling,7.6923076923076925,,8.403361344537815,10.344827586206897,14.402173913043478,22.641509433962266,16.157205240174672
Looker,5.016722408026756,,8.403361344537815,6.896551724137931,6.7934782608695645,15.09433962264151,15.283842794759824
ETL,4.013377926421405,,3.361344537815126,3.4482758620689653,10.869565217391305,11.320754716981133,13.100436681222707
Reporting,6.0200668896321075,60.0,4.201680672268908,10.344827586206897,5.706521739130435,22.641509433962266,6.550218340611353
Snowflake,3.678929765886288,,1.680672268907563,6.896551724137931,6.7934782608695645,13.20754716981132,12.22707423580786
AWS,1.3377926421404682,,4.201680672268908,,6.7934782608695645,9.433962264150944,8.296943231441048
Machine Learning,3.0100334448160537,40.0,5.88235294117647,6.896551724137931,5.978260869565218,11.320754716981133,8.296943231441048
Data Mining,2.0066889632107023,,6.722689075630252,3.4482758620689653,8.152173913043478,1.8867924528301887,6.550218340611353
Data Quality,3.678929765886288,40.0,3.361344537815126,,1.9021739130434785,16.9811320754717,6.11353711790393
Data Warehousing,1.3377926421404682,,4.201680672268908,3.4482758620689653,5.434782608695652,1.8867924528301887,6.986899563318777
